Id,Status,Audiobook,dateRead,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,bookBuyUrl
51,Yes,No,06/02/2022,Monstrous Regiment,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/20880-L.jpg,9780062307415,HarperCollins,353,2003,2003,https://bookshop.org/p/books/monstrous-regiment-terry-pratchett/6433665?aid=93821&ean=9780062307415&listref=matt-s-reading-list&page=2
50,Yes,No,05/20/2022,The Last Hero,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43724-L.jpg,9780060507770,HarperCollins,158,2001,2001,https://bookshop.org/p/books/the-last-hero-terry-pratchett/7897166?aid=93821&ean=9780060507770&listref=matt-s-reading-list&page=2
49,Yes,No,05/11/2022,Night Watch,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/20877-L.jpg,9780062307408,HarperCollins,338,2002,2002,https://bookshop.org/p/books/night-watch-terry-pratchett/6433664?aid=93821&ean=9780062307408&listref=matt-s-reading-list&page=2
48,Yes,No,04/28/2022,Carpe  Jugulum,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43509-L.jpg,9780062280145,HarperTorch,416,2000,1998,https://bookshop.org/p/books/carpe-jugulum-terry-pratchett/6432991?aid=93821&ean=9780062280145&listref=matt-s-reading-list&page=2
47,Yes,No,04/15/2022,"Guards, Guards!",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8913515-L.jpg,9780000000000,HarperTorch,376,2001,1989,https://bookshop.org/p/books/guards-guards-terry-pratchett/6431868?aid=93821&ean=9780062225757&listref=matt-s-reading-list&page=2
46,Yes,No,03/26/2022,The Amazing Maurice and His Educated Rodents,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/20819-L.jpg,9780060012359,HarperCollins,241,2001,2001,https://bookshop.org/p/books/the-amazing-maurice-and-his-educated-rodents-terry-pratchett/7874941?aid=93821&ean=9780060012359&listref=matt-s-reading-list&page=2
45,Yes,No,03/18/2022,Slaugterhouse Five,Kurt Vonnegut Jr.,"Vonnegut, Kurt",https://images.booksense.com/images/849/333/9780385333849.jpg,9780000000000,Delacorte,288,1999,1969,https://bookshop.org/p/books/slaughterhouse-five-or-the-children-s-crusade-a-duty-dance-with-death-kurt-vonnegut/15551258?aid=93821&ean=9780440180296&listref=matt-s-reading-list&page=2
44,Yes,No,03/15/2022,Moonwalking with Einstein,Joshua Foer,"Foer, Joshua",https://covers.openlibrary.org/b/id/6707427-L.jpg,9780000000000,Penguin,320,2011,2003,https://bookshop.org/p/books/moonwalking-with-einstein-the-art-and-science-of-remembering-everything-joshua-foer/16319626?aid=93821&ean=9780143120537&listref=matt-s-reading-list&page=2
43,Yes,No,03/10/2022,Silverview,John le Carré,"le Carré, John",https://covers.openlibrary.org/b/id/12041636-L.jpg,9780000000000,Viking,272,2021,2021,https://bookshop.org/p/books/silverview-john-le-carre/17123826?aid=93821&ean=9780593490631&listref=matt-s-reading-list&page=2
42,Yes,No,03/04/2022,Thief of Time,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/23508-L.jpg,9780000000000,Harper,324,2001,2001,https://bookshop.org/p/books/thief-of-time-terry-pratchett/6433663?aid=93821&ean=9780062307392&listref=matt-s-reading-list&page=2
